Unnamed: 0,rep,hv,dataset,exp,num_pts,avg_pred_perf,avg_fair_perf,objective1,objective2
44,4,0.9422586520947176,heart_disease,Evolved Weights,118,0.6429563767713252,0.0051694915254237,0,0
45,5,0.9300710793376886,heart_disease,Evolved Weights,101,0.540334361304983,0.0031762574753715,0,0
46,6,0.833391776979048,heart_disease,Evolved Weights,23,0.751960085531005,0.1994303650313879,0,0
47,7,0.492167577413479,heart_disease,Evolved Weights,21,0.7470725995316158,0.4190476190476191,0,0
48,8,0.5028688524590165,heart_disease,Evolved Weights,24,0.8920765027322405,0.4624999999999999,0,0
49,9,0.8005651364625148,heart_disease,Evolved Weights,136,0.6418756027000965,0.0248953890721815,0,0
50,10,0.833347944244762,heart_disease,Evolved Weights,152,0.6174503882657463,0.032613284548269,0,0
51,11,0.7973472429210134,heart_disease,Evolved Weights,264,0.4119473422752112,0.0056749311294765,0,0
52,12,0.5928113226758986,heart_disease,Evolved Weights,43,0.8250095310712924,0.4907554528383649,0,0
53,13,0.7717807226003948,heart_disease,Evolved Weights,54,0.7364905889496053,0.2536172536172535,0,0
54,14,0.8137924161642334,heart_disease,Evolved Weights,90,0.5444444444444444,0.0018237082066869,0,0
55,15,0.8614008941877793,heart_disease,Evolved Weights,104,0.5621059268600254,0.0160042163718634,0,0
56,16,0.8151626887239025,heart_disease,Evolved Weights,121,0.5003387074922095,0.0193046798462659,0,0
57,17,0.4069850320741268,heart_disease,Evolved Weights,64,0.8519467213114753,0.5431385869565217,0,0
58,18,0.8045659941151744,heart_disease,Evolved Weights,91,0.5941271842911187,0.0521625810087348,0,0
59,19,0.8331215317490576,heart_disease,Evolved Weights,124,0.5360920148069804,0.0018754688672168,0,0
0,0,0.766796494644596,student_math,Equal Weights,276,0.9746835443037976,0.2132867132867132,0,0
1,1,0.7941994714146614,student_math,Equal Weights,2,0.9050632911392404,0.1758241758241758,0,0
2,2,0.7257767548906788,student_math,Equal Weights,3,0.9240506329113924,0.2515151515151515,0,0
3,3,0.6296892980437284,student_math,Equal Weights,2,0.9620253164556962,0.3454545454545454,0,0
4,4,0.6253289324440815,student_math,Equal Weights,150,0.923544303797468,0.4292652329749103,0,0
5,5,0.8251374945438673,student_math,Equal Weights,192,0.9351265822784808,0.1620617816091953,0,0
6,6,0.5775743244097674,student_math,Equal Weights,80,0.9362341772151896,0.3900224775224775,0,0
7,7,0.7606846331836122,student_math,Equal Weights,10,0.921518987341772,0.2881720430107526,0,0
8,8,0.8032341242835322,student_math,Equal Weights,569,0.906275722453338,0.1781626572431039,0,0
9,9,0.770983446932814,student_math,Equal Weights,45,0.936708860759494,0.1769230769230769,0,0
10,10,0.6717792755767439,student_math,Equal Weights,127,0.9166749725904512,0.3128165797457136,0,0
11,11,0.7882849342268552,student_math,Equal Weights,11,0.9252013808975832,0.2145519364770702,0,0
12,12,0.8756191524490918,student_math,Equal Weights,1,0.9367088607594936,0.0652173913043478,0,0
13,13,0.7142674484446637,student_math,Equal Weights,8,0.9129746835443038,0.2945526695526695,0,0
14,14,0.7717266001857883,student_math,Equal Weights,15,0.9181434599156116,0.2193339227821986,0,0
15,15,0.6740365682137834,student_math,Equal Weights,80,0.9458860759493668,0.3267777777777778,0,0
16,16,0.8536044651550981,student_math,Equal Weights,6,0.890295358649789,0.1144307081807081,0,0
17,17,0.6420886075949367,student_math,Equal Weights,6,0.9367088607594934,0.4033333333333334,0,0
18,18,0.7047372458764865,student_math,Equal Weights,757,0.9114258482015948,0.3181317801529163,0,0
